word,means
book,"n.    书, 卷, 课本, 账簿vt.& vi.    预订vt.    登记, （向旅馆、饭店、戏院等）预约, 立案（控告某人）, 订立演出契约adj.    书的, 账簿上的, 得之（或来自）书本的, 按照（或依据）书本的"
list,"n.    清单，目录, 倾斜, 布边，布头, 狭条vt.    列出，列入, 把…编列成表, 记入名单内vi.    列于表上"
delivery,"n.    传送，投递, [法]（正式）交付, 分娩, 讲演"
invoked,"v.    援引( invoke的过去式和过去分词 ), 行使（权利等）, 祈求救助, 恳求"
adverse,"adj.    不利的, 有害的, 逆的, 相反的"
corruption,"n.    腐败, 贪污, 贿赂, 变体"
Moreover,"adv.    再者, 此外, 而且, 同时"
cumbersome,"adv.    再者, 此外, 而且, 同时"
apart,"[adv.]    相隔，相距, 分散地，分开地, 成部分，成碎片, 分辨[adj.]    分离的，隔离的"
cope,"[vi.]    成功地应付，对付, 对抗[n.]    长袍, 斗篷状覆盖物, 墙帽[vt.]    笼罩, 给…盖墙压顶"
cooperative,"[adj.]    合作的, 协助的, 共同的, 〈美〉（大学文科）有关[包含]各种实习活动的[n.]    合作社，联合体"
identical,"[adj.]    同一的, 完全同样的，相同的, 恒等的, 同卵的[n.]    完全相同的事物, 同卵双胞"
burden,"[n.]    负担，包袱, 责任，义务, 载货量, （诗歌，发言等的）重点[vt.]    使烦恼，劳累, 向（车，船等）上装货"
Consequently,"[adv.]    所以，因此, 因此，因而, 终于，这样, 合乎逻辑的推论是"
cube,"[n.]    立方形，立方体, 立方，三次幂, 小房间[vt.]    求…的立方, 把（食物）切成小方块, 测定…的体积"
relay,"[n.]    接替人员，替班, 传递, 接力赛, 继电器[vt.]    转播，传达, 用驿马递送，使接替, 分程传递"
reliably,[adv.]    可靠地，确实地
collapse,"[vi.]    折叠, 倒塌, 崩溃, （尤指工作劳累后）坐下[vt.]    使倒塌, 使坍塌, 使瓦解[n.]    垮台, （身体的）衰弱"
